REGI,TYPO,TAG,IS_TYPO,RLEN,TLEN,TYPO_ENCOUNTER_TIME,VISUAL_SIMILARITY,KEYBOARD_DISTANCE,META_PHONE_DISTANCE,BIGRAM_SIMILARITY,EDIT_DISTANCE,TIME_DISTANCE,SOUNDEX_DISTANCE
dgdp.gov.bd,dgdgp.gov.bd,2017-09,1,11,12,25-SEP-17 03.01.39.497000000 AM,0.71,1,1,0.86,1,0,1
pangsacollege.edu.bd,paangsacollege.edu.bd,2017-09,1,20,21,25-SEP-17 12.20.40.348000000 AM,0.82,1,0,0.97,1,33.11,0
xiclassadmission.gov.bd,xiclassadmisson.gov.bd,2017-09,1,23,22,25-SEP-17 12.21.44.142000000 AM,0.9,1,0,0.93,1,47.95,0
banbeis.gov.bd,benbeis.gov.bd,2017-09,1,14,14,25-SEP-17 12.22.47.631000000 AM,0.8,2,0,0.85,1,18.52,0
everjobs.com.bd,everyjobs.com.bd,2017-09,1,15,16,25-SEP-17 01.42.41.430000000 AM,0.77,1,0,0.9,1,30.45,0
xiclassadmission.gov.bd,xiclassadmossion.gov.bd,2017-09,1,23,23,25-SEP-17 02.45.28.858000000 AM,0.85,1,0,0.91,1,32.63,0
google.com.bd,ogle.com.bd,2017-09,0,13,11,25-SEP-17 03.34.55.567000000 AM,0.48,2,1,0.91,2,49.95,1
weavers.com.bd,wavers.com.bd,2017-09,1,14,13,25-SEP-17 03.51.10.557000000 AM,0.72,1,0,0.88,1,35.76,0
dgdp.gov.bd,dgdgp.gov.bd,2017-09,1,11,12,25-SEP-17 01.51.51.570000000 AM,0.71,1,1,0.86,1,0.02,1
mggroup.com.bd,mggroupbd.com.bd,2017-09,1,14,16,25-SEP-17 02.53.46.726000000 AM,0.55,2,0,0.86,2,11.43,0
ntrca.gov.bd,ntca.gov.bd,2017-09,1,12,11,25-SEP-17 01.28.22.109000000 AM,0.71,1,1,0.86,1,35.86,1
seml.com.bd,semlho.com.bd,2017-09,0,11,13,25-SEP-17 03.27.36.152000000 AM,0.49,2,0,0.82,2,17.72,0
techtunes.com.bd,tecatunes.com.bd,2017-09,1,16,16,25-SEP-17 12.28.03.902000000 AM,0.79,2,0,0.87,1,29.36,0
gonokantho.com.bd,gonokantha.com.bd,2017-09,1,17,17,25-SEP-17 02.31.08.922000000 AM,0.85,2,0,0.88,1,27.07,0
mrittika.com.bd,mritika.com.bd,2017-09,1,15,14,25-SEP-17 01.47.03.867000000 AM,0.76,1,0,0.96,1,34.6,0
primegroup.com.bd,primegroup-bd.com.bd,2017-09,1,17,20,25-SEP-17 12.35.12.422000000 AM,0.46,3,0,0.86,3,0,0
nittsu.com.bd,nitt5u.com.bd,2017-09,1,13,13,25-SEP-17 01.13.58.740000000 AM,0.75,2,1,0.83,1,0.14,2
nittsu.com.bd,nittsu-com.bd,2017-09,1,13,13,25-SEP-17 01.13.58.806000000 AM,0.75,2,0,0.83,1,0.08,0
sheltechengineering.com.bd,sheltechenginering.com.bd,2017-09,1,26,25,25-SEP-17 03.13.06.577000000 AM,0.85,1,0,0.98,1,3.45,0
tuv-sud.com.bd,tuv-sud.bd,2017-09,1,14,10,25-SEP-17 12.45.16.899000000 AM,0.24,4,0,0.82,4,0.36,0
mrittika.com.bd,mritika.com.bd,2017-09,1,15,14,25-SEP-17 01.47.04.040000000 AM,0.76,1,0,0.96,1,34.63,0
google.com.bd,wwwgogle.com.bd,2017-09,1,13,15,25-SEP-17 01.06.41.215000000 AM,0.32,4,1,0.85,4,22.11,0
primegroup.com.bd,primegroup-bd.com.bd,2017-09,1,17,20,25-SEP-17 02.12.37.422000000 AM,0.46,3,0,0.86,3,0,0
bracu.ac.bd,iedbracu.ac.bd,2017-09,0,11,14,25-SEP-17 02.56.06.779000000 AM,0.34,3,4,0.87,3,1.17,4
unisa.ac.bd,nisa.ac.bd,2017-09,1,11,10,25-SEP-17 02.56.08.158000000 AM,0.67,1,3,0.95,1,0.41,2
chittagong.gov.bd,chittagogov.bd,2017-09,0,17,14,25-SEP-17 02.56.08.505000000 AM,0.41,3,1,0.83,3,37.43,1
cargo.com.bd,aircargo.com.bd,2017-09,0,12,15,25-SEP-17 02.56.08.858000000 AM,0.36,3,2,0.88,3,0.06,2
aviationnews.com.bd,aviationnew.com.bd,2017-09,1,19,18,25-SEP-17 02.56.09.081000000 AM,0.8,1,0,0.91,1,5.22,0
nehow.com.bd,chow.com.bd,2017-09,0,12,11,25-SEP-17 02.56.09.872000000 AM,0.53,3,1,0.86,2,5.99,3
google.com.bd,goog.com.bd,2017-09,1,13,11,25-SEP-17 02.56.12.551000000 AM,0.49,2,2,0.82,2,0.07,2
twitter.com.bd,kwitter.com.bd,2017-09,1,14,14,25-SEP-17 02.56.15.151000000 AM,0.76,2,1,0.92,1,10.32,1
ittefaq.com.bd,ittefafaq.com.bd,2017-09,1,14,16,25-SEP-17 02.56.15.173000000 AM,0.55,2,1,0.93,2,0.14,1
ittefaq.com.bd,ittrfaq.com.bd,2017-09,1,14,14,25-SEP-17 02.56.15.290000000 AM,0.76,1,2,0.85,1,0.03,2
skipper.com.bd,kipper.com.bd,2017-09,1,14,13,25-SEP-17 02.56.15.446000000 AM,0.72,1,1,0.96,1,7.41,2
nana.com.bd,manna.com.bd,2017-09,1,11,12,25-SEP-17 02.56.15.603000000 AM,0.53,2,1,0.86,2,0.85,1
panna.com.bd,manna.com.bd,2017-09,1,12,12,25-SEP-17 02.56.15.603000000 AM,0.73,2,1,0.91,1,1.79,1
picosoft.com.bd,neosoft.com.bd,2017-09,0,15,14,25-SEP-17 02.56.15.741000000 AM,0.47,5,3,0.81,3,1.01,3
sales.com.bd,miles.com.bd,2017-09,0,12,12,25-SEP-17 02.56.15.811000000 AM,0.56,4,1,0.82,2,3.41,1
next.com.bd,nextel.com.bd,2017-09,1,11,13,25-SEP-17 02.56.15.843000000 AM,0.56,2,1,0.82,2,0.08,0
nitolniloy.com.bd,nitolmiloy.com.bd,2017-09,1,17,17,25-SEP-17 02.56.15.847000000 AM,0.82,1,0,0.88,1,0.08,1
twitter.com.bd,kwitter.com.bd,2017-09,1,14,14,25-SEP-17 02.56.16.540000000 AM,0.76,2,1,0.92,1,8.93,1
panna.com.bd,manna.com.bd,2017-09,1,12,12,25-SEP-17 02.56.16.892000000 AM,0.73,2,1,0.91,1,0.5,1
sales.com.bd,miles.com.bd,2017-09,0,12,12,25-SEP-17 02.56.17.231000000 AM,0.56,4,1,0.82,2,1.99,1
skipper.com.bd,kipper.com.bd,2017-09,1,14,13,25-SEP-17 02.56.17.358000000 AM,0.72,1,1,0.96,1,5.49,2
skipper.com.bd,kipper.com.bd,2017-09,1,14,13,25-SEP-17 02.56.18.373000000 AM,0.72,1,1,0.96,1,4.48,2
teletalk.com.bd,taletalk.com.bd,2017-09,1,15,15,25-SEP-17 02.56.24.294000000 AM,0.82,2,0,0.86,1,0.02,0
